2412,4.02261
2417,4.01325
2422,4.04104
2427,4.03359
2432,4.07465
2437,4.05564
2442,4.0425
2447,4.02305
2452,4.05111
2457,4.04012
2462,4.07821
2467,4.10495
2472,4.15197
2484,4.17586
5180,9.02657
5190,9.47889
5200,9.43368
5210,8.9946
5220,8.77558
5230,8.63439
5240,8.86885
5260,9.42969
5270,9.19392
5280,8.89557
5300,8.51204
5310,8.66459
5320,8.93424
5500,8.47546
5510,8.31868
5520,8.67542
5530,8.86101
5540,9.08964
5550,8.75074
5560,8.33888
5580,8.20762
5600,8.87363
5610,8.64189
5660,8.26505
5690,8.01677
5700,8.08859
5710,7.95496
5745,8.03689
5755,7.82489
5775,7.59353
5795,7.89869
5805,8.09904
5825,7.99139
